,Board Name,Board Type,School Type,School Level,School Language,Grade Range,City,Enrolment,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education,Avg_EQAO,Avg_change_EQAO,Avg_age_aggr,Age_0to14yrs_aggr,Age_15to64yrs_aggr,Age_65+yrs_aggr,Avg_household_size_aggr,Perc_Dwelling_Single-detached house_aggr,Perc_Dwelling_Apartment_aggr,Perc_Dwelling_Otherattached_aggr,Perc_MaritalStatus_Married_aggr,Perc_MaritalStatus_NotMarried_aggr,Perc_KnowledgeofOfficialLanguage_EnglishOnly_aggr,Perc_KnowledgeofOfficialLanguage_FrenchOnly_aggr,Perc_KnowledgeofOfficialLanguage_both_aggr,Perc_KnowledgeofOfficialLanguage_none_aggr,Perc_Canadian citizens_aggr,Perc_NotCanadianCitizens_aggr,Perc_Immigration_Non-immigrants_aggr,Perc_Immigration_Immigrants_aggr,Perc_Immigration_Non-permanent residents_aggr,Perc_Immigration_SelectedPlacesBirth_Americas_aggr,Perc_Immigration_SelectedPlacesBirth_Europe_aggr,Perc_Immigration_SelectedPlacesBirth_Africa_aggr,Perc_Immigration_SelectedPlacesBirth_Asia_aggr,Perc_Immigration_SelectedPlacesBirth_Oceania_Other_aggr,Perc_Housing_Owner_aggr,Perc_Housing_Renter_aggr,Perc_Housing_BandHousing_aggr,Perc_EthnicOrigin_NorthAmericanAboriginal_aggr,Perc_EthnicOrigin_OtherNorthAmerican_aggr,Perc_EthnicOrigin_European_aggr,Perc_EthnicOrigin_Caribbean_aggr,Perc_EthnicOrigin_LatinCentralSouthAmerican_aggr,Perc_EthniOrigin_African_aggr,Perc_EthnicOrigin_Oceania_aggr,Perc_Education_No certificateDiplomaDegree_aggr,Perc_Education_Secondary(high)SchoolDiploma_aggr,Perc_Education_PostsecondaryCertificateDiplomaDegree_ApprenticeshipTradesCertificateDiploma_aggr,Perc_Education_PostsecondaryCertificateDiplomaDegree_CollegeCEGEPOtherNon-universityCertificateDiploma_aggr,Perc_Education_PostsecondaryCertificateDiplomaDegree_UniversityCertificateDiplomaBelowBachelorLevel_aggr,Perc_Education_PostsecondaryCertificateDiplomaDegree_UniversityCertificateDiplomaDegreeBachelorLevelAbove_aggr,Perc_Labour_InLabourForce_Employed_aggr,Perc_Labour_InLabourForce_Unemployed_aggr,Perc_Labour_NotInLabourForce_aggr,EQAO_Class
1,Algoma DSB,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-8,Sault Ste Marie,182.0,0.0,100.0,0.0,0.0,14.8,0.0,11.0,56.3,59.666666666666664,-23.166666666666668,46.724999999999994,11.525,62.05,25.975,2.325,83.22147651006712,0.0,16.778523489932887,60.204081632653065,39.795918367346935,90.71856287425149,0.0,9.281437125748502,0.0,97.74193548387096,2.258064516129032,91.0828025477707,7.643312101910828,1.2738853503184715,36.36363636363637,54.54545454545454,0.0,9.090909090909092,0.0,81.94444444444444,18.055555555555554,0.0,6.20347394540943,25.55831265508685,66.25310173697271,0.49627791563275436,0.9925558312655087,0.49627791563275436,0.0,10.583941605839415,26.277372262773724,6.569343065693431,23.722627737226276,2.18978102189781,30.656934306569344,53.84615384615385,6.95970695970696,39.1941391941392,Bad
2,Algoma DSB,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-3,Bruce Mines,64.0,0.0,100.0,0.0,0.0,0.0,0.0,34.3,37.2,68.66666666666667,22.0,46.275,16.825,57.900000000000006,25.675,2.25,94.02173913043478,0.0,5.978260869565218,66.38655462184873,33.61344537815126,92.5925925925926,0.0,5.555555555555555,1.8518518518518516,97.65258215962442,2.3474178403755865,93.17647058823529,6.352941176470588,0.4705882352941176,19.230769230769234,73.07692307692307,0.0,7.6923076923076925,0.0,90.10989010989012,9.89010989010989,0.0,4.022988505747127,29.693486590038315,66.28352490421456,0.0,0.0,0.0,0.0,24.649859943977592,25.210084033613445,13.445378151260504,21.008403361344538,1.9607843137254901,13.725490196078432,49.29577464788733,3.3802816901408446,47.32394366197183,Fair
3,Algoma DSB,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-8,Sault Ste Marie,177.0,0.0,100.0,0.0,0.0,17.5,0.0,32.0,31.4,41.333333333333336,-24.333333333333332,44.5,15.525,61.775,23.175,2.3249999999999997,73.58490566037736,0.0,26.41509433962264,62.77602523659306,37.22397476340694,88.26666666666667,0.0,11.733333333333333,0.0,97.26775956284153,2.73224043715847,88.79781420765028,10.655737704918032,0.546448087431694,10.526315789473683,63.1578947368421,5.263157894736842,21.052631578947366,0.0,86.25,13.750000000000002,0.0,7.657657657657657,20.72072072072072,70.04504504504504,0.9009009009009009,0.0,0.6756756756756757,0.0,12.218649517684888,30.86816720257235,8.360128617363344,23.47266881028939,1.607717041800643,23.47266881028939,55.519480519480524,4.545454545454546,39.935064935064936,Bad
4,Algoma DSB,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-8,Blind River,152.0,0.0,99.3,0.0,0.0,25.6,0.0,24.8,19.8,45.5,-14.833333333333334,46.900000000000006,13.0,62.375,24.825,2.05,73.4375,0.0,26.5625,56.231884057971016,43.768115942028984,66.49874055415617,0.7556675062972292,32.49370277078086,0.2518891687657431,98.5576923076923,1.4423076923076923,94.6987951807229,5.301204819277109,0.0,31.57894736842105,47.368421052631575,0.0,21.052631578947366,0.0,64.6766169154229,35.32338308457712,0.0,13.718411552346572,31.768953068592058,52.888086642599276,1.6245487364620936,0.0,0.0,0.0,25.340599455040874,29.427792915531338,11.444141689373296,21.25340599455041,2.452316076294278,10.08174386920981,45.47945205479452,5.7534246575342465,48.76712328767123,Bad
5,Algoma DSB,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-8,Sault Ste Marie,313.0,0.0,100.0,0.0,0.0,9.9,0.0,19.0,35.3,77.75,6.666666666666667,42.325,17.65,59.45,22.55,2.0,28.436018957345972,6.6350710900473935,64.92890995260665,35.09316770186335,64.90683229813664,91.25964010282776,0.0,8.740359897172237,0.0,93.73368146214099,6.266318537859007,88.02083333333334,7.552083333333333,4.427083333333334,24.137931034482758,62.06896551724138,0.0,13.793103448275861,0.0,17.22488038277512,82.77511961722487,0.0,11.76470588235294,24.369747899159663,60.08403361344538,2.3109243697478994,0.0,1.4705882352941175,0.0,27.67295597484277,33.0188679245283,5.660377358490567,21.069182389937108,1.257861635220126,11.320754716981133,36.90851735015773,4.73186119873817,58.359621451104104,Fair
7,Algoma DSB,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-6,Desbarats,116.0,0.0,100.0,0.0,0.0,17.2,0.0,31.2,31.7,64.0,-12.0,45.449999999999996,15.974999999999998,61.275000000000006,22.925,2.35,96.34146341463415,0.0,3.6585365853658534,71.08433734939759,28.915662650602407,93.41772151898734,0.0,5.3164556962025316,1.2658227848101267,98.1675392670157,1.832460732984293,93.1758530183727,6.299212598425196,0.5249343832020997,23.076923076923077,50.0,0.0,19.230769230769234,7.6923076923076925,92.45283018867924,7.547169811320755,0.0,6.652806652806653,23.284823284823286,70.06237006237006,0.0,0.0,0.0,0.0,19.45288753799392,22.492401215805472,11.246200607902736,24.012158054711247,3.0395136778115504,19.756838905775076,50.60606060606061,4.242424242424243,45.151515151515156,Fair
8,Algoma DSB,Pub Dist Sch Brd (E/F),Public,Secondary,English,9-12,Desbarats,328.0,0.0,99.1,0.0,0.0,29.5,0.0,17.6,21.0,61.666666666666664,5.0,45.449999999999996,15.974999999999998,61.275000000000006,22.925,2.35,96.34146341463415,0.0,3.6585365853658534,71.08433734939759,28.915662650602407,93.41772151898734,0.0,5.3164556962025316,1.2658227848101267,98.1675392670157,1.832460732984293,93.1758530183727,6.299212598425196,0.5249343832020997,23.076923076923077,50.0,0.0,19.230769230769234,7.6923076923076925,92.45283018867924,7.547169811320755,0.0,6.652806652806653,23.284823284823286,70.06237006237006,0.0,0.0,0.0,0.0,19.45288753799392,22.492401215805472,11.246200607902736,24.012158054711247,3.0395136778115504,19.756838905775076,50.60606060606061,4.242424242424243,45.151515151515156,Fair
9,Algoma DSB,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-8,Elliot Lake,274.0,0.0,97.8,0.0,0.0,18.9,0.0,32.5,24.3,21.833333333333332,-25.166666666666668,49.65,12.8,54.6,33.025,2.025,59.53488372093023,0.0,40.46511627906977,57.03125,42.96875,74.46808510638297,0.7092198581560284,24.58628841607565,0.2364066193853428,98.40546697038725,1.5945330296127564,90.27149321266968,9.276018099547512,0.4524886877828055,14.285714285714285,85.71428571428571,0.0,0.0,0.0,65.45454545454545,34.54545454545455,0.0,7.931034482758621,38.44827586206897,52.93103448275862,0.3448275862068966,0.0,0.3448275862068966,0.0,24.6684350132626,28.647214854111407,8.753315649867375,25.198938992042443,2.3872679045092835,10.344827586206897,37.40053050397878,3.978779840848806,58.620689655172406,Bad
10,Algoma DSB,Pub Dist Sch Brd (E/F),Public,Secondary,English,9-12,Chapleau,68.0,0.0,100.0,0.0,0.0,29.4,0.0,0.0,0.0,46.0,-27.0,43.975,16.549999999999997,64.15,20.2,2.1999999999999997,73.87387387387388,0.0,26.126126126126124,63.133640552995395,36.86635944700461,45.2755905511811,4.330708661417323,49.21259842519685,1.1811023622047243,95.71984435797665,4.280155642023346,93.359375,6.640625,0.0,11.76470588235294,23.52941176470588,0.0,64.70588235294117,0.0,66.94915254237289,33.05084745762712,0.0,13.259668508287293,41.16022099447514,45.58011049723757,0.0,0.0,0.0,0.0,33.63636363636363,21.363636363636363,8.181818181818182,25.0,0.0,11.818181818181818,53.21100917431193,7.339449541284404,39.44954128440367,Bad
11,Algoma DSB,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-8,Chapleau,91.0,0.0,98.9,0.0,0.0,14.2,0.0,23.7,0.0,38.666666666666664,22.0,44.375,16.625,62.85,22.15,2.15,70.53571428571429,0.0,29.464285714285715,60.18957345971564,39.81042654028436,45.52845528455284,4.471544715447155,48.78048780487805,1.2195121951219512,96.31147540983606,3.6885245901639343,93.44262295081968,6.557377049180328,0.0,13.333333333333334,26.666666666666668,0.0,60.0,0.0,65.78947368421053,34.21052631578947,0.0,13.521126760563378,42.25352112676056,44.225352112676056,0.0,0.0,0.0,0.0,33.49514563106796,20.388349514563107,9.223300970873787,30.097087378640776,0.0,6.796116504854369,54.63414634146342,5.853658536585367,39.51219512195122,Bad
