State,"18 or Older
Estimate","18 or Older
95% CI (Lower)","18 or Older
95% CI (Upper)","18-25
Estimate","18-25
95% CI (Lower)","18-25
95% CI (Upper)","26 or Older
Estimate","26 or Older
95% CI (Lower)","26 or Older
95% CI (Upper)",Total Population,Total Poverty,People Below Poverty Level,Per Capita Income,Total Labor Force,Total Employed Civilian,Unemployment Civilian,Armed Forces Employment,Total Not Labor Force,Total Houses,Houses with owners,Houses with renters,Houses with mortgage,Total People,Total People with insurance,Total People withou insurance,state
Alabama,19.95%,17.96%,22.10%,21.52%,18.77%,24.56%,19.69%,17.44%,22.16%,4841164.0,4720592.0,868666.0,24736.0,3864302.0,2042025.0,184479.0,12150.0,1625648.0,1851061.0,1267824.0,583237.0,730637.0,4761291.0,657349.0,4103942.0,01
Alaska,20.32%,18.30%,22.50%,27.34%,24.11%,30.83%,19.14%,16.90%,21.59%,736855.0,719064.0,72826.0,34191.0,568732.0,353954.0,30139.0,16382.0,168257.0,250235.0,159313.0,90922.0,103704.0,712964.0,83618.0,629346.0,02
Arizona,18.02%,15.98%,20.27%,22.39%,19.29%,25.83%,17.30%,15.01%,19.86%,6728577.0,6573523.0,1165636.0,26686.0,5290839.0,2879372.0,249972.0,17373.0,2144122.0,2448919.0,1531878.0,917041.0,991361.0,6620233.0,1024109.0,5596124.0,04
Arkansas,20.73%,18.70%,22.91%,24.46%,21.41%,27.79%,20.11%,17.83%,22.61%,2968472.0,2881404.0,542431.0,23401.0,2339307.0,1266552.0,93190.0,4445.0,975120.0,1141480.0,749452.0,392028.0,417765.0,2915402.0,346839.0,2568563.0,05
California,18.18%,17.14%,19.26%,24.75%,22.97%,26.62%,17.06%,15.89%,18.30%,38654206.0,37913144.0,6004257.0,31458.0,30565746.0,17577142.0,1683726.0,130452.0,11174426.0,12807387.0,6929007.0,5878380.0,5000119.0,38151997.0,4892528.0,33259469.0,06
Colorado,19.86%,17.94%,21.93%,27.72%,24.33%,31.39%,18.58%,16.44%,20.93%,5359295.0,5241057.0,637938.0,33230.0,4245559.0,2692529.0,171695.0,33135.0,1348200.0,2051616.0,1320617.0,730999.0,959882.0,5267878.0,716726.0,4551152.0,08
Connecticut,18.18%,16.21%,20.34%,25.56%,22.35%,29.06%,16.98%,14.81%,19.41%,3588570.0,3479672.0,360464.0,39906.0,2911925.0,1793688.0,155005.0,8367.0,954865.0,1354713.0,900223.0,454490.0,625486.0,3535139.0,462556.0,3072583.0,09
Delaware,18.65%,16.69%,20.79%,23.52%,20.49%,26.85%,17.93%,15.74%,20.34%,934695.0,908973.0,109448.0,31118.0,753039.0,438292.0,33669.0,2860.0,278218.0,348051.0,246940.0,101111.0,166435.0,920268.0,129412.0,790856.0,10
District of Columbia,21.17%,18.99%,23.54%,23.89%,20.77%,27.32%,20.65%,18.17%,23.37%,659009.0,624954.0,112060.0,48781.0,554780.0,348225.0,33326.0,3505.0,169724.0,276546.0,112672.0,163874.0,86201.0,648263.0,100874.0,547389.0,11
Florida,17.54%,16.36%,18.79%,22.74%,20.81%,24.79%,16.83%,15.50%,18.24%,19934451.0,19514334.0,3139258.0,27598.0,16339299.0,8755427.0,802016.0,56151.0,6725705.0,7393262.0,4787320.0,2605942.0,2808279.0,19621207.0,2976442.0,16644765.0,12
Georgia,18.07%,16.46%,19.80%,21.26%,18.85%,23.89%,17.53%,15.72%,19.51%,10099320.0,9829056.0,1746894.0,26678.0,7882965.0,4489112.0,419113.0,48862.0,2925878.0,3611706.0,2266411.0,1345295.0,1521924.0,9907239.0,1217254.0,8689985.0,13
Hawaii,16.27%,14.41%,18.33%,22.94%,19.92%,26.27%,15.36%,13.30%,17.67%,1413673.0,1375928.0,148577.0,30970.0,1137804.0,664616.0,38768.0,38777.0,395643.0,452030.0,259854.0,192176.0,173799.0,1362574.0,193989.0,1168585.0,15
Idaho,25.03%,22.64%,27.59%,27.79%,24.36%,31.51%,24.57%,21.86%,27.51%,1635483.0,1604369.0,244585.0,24280.0,1251275.0,731170.0,48385.0,3459.0,468261.0,596107.0,410538.0,185569.0,271206.0,1614714.0,206716.0,1407998.0,16
Illinois,16.76%,15.44%,18.17%,22.82%,20.56%,25.24%,15.78%,14.30%,17.38%,12851684.0,12548538.0,1753731.0,31502.0,10206768.0,6134121.0,545635.0,17244.0,3509768.0,4802124.0,3167081.0,1635043.0,2071942.0,12671738.0,1514932.0,11156806.0,17
Indiana,20.90%,18.89%,23.06%,27.45%,24.23%,30.92%,19.75%,17.52%,22.19%,6589578.0,6388926.0,957694.0,26117.0,5185793.0,3085179.0,228929.0,2844.0,1868841.0,2513828.0,1727511.0,786317.0,1151827.0,6490256.0,796375.0,5693881.0,18
Iowa,19.02%,17.15%,21.03%,25.26%,22.23%,28.55%,17.90%,15.80%,20.22%,3106589.0,3005808.0,369828.0,28872.0,2459591.0,1587178.0,75289.0,1703.0,795421.0,1242641.0,883119.0,359522.0,537848.0,3062954.0,397146.0,2665808.0,19
Kansas,19.71%,17.80%,21.77%,24.72%,21.66%,28.05%,18.81%,16.65%,21.19%,2898292.0,2816191.0,373162.0,28478.0,2255916.0,1408918.0,79000.0,17329.0,750669.0,1115858.0,740343.0,375515.0,449676.0,2839352.0,344116.0,2495236.0,20
Kentucky,22.29%,20.15%,24.59%,22.83%,19.87%,26.10%,22.21%,19.81%,24.80%,4411989.0,4275202.0,804139.0,24802.0,3511065.0,1914189.0,156509.0,14735.0,1425632.0,1718217.0,1147903.0,570314.0,679545.0,4327357.0,562844.0,3764513.0,21
Louisiana,19.11%,17.17%,21.22%,19.67%,16.86%,22.81%,19.02%,16.83%,21.42%,4645670.0,4514625.0,889570.0,25515.0,3654913.0,2025728.0,168326.0,15085.0,1445774.0,1731398.0,1132785.0,598613.0,608680.0,4542312.0,522297.0,4020015.0,22
Maine,19.01%,17.08%,21.09%,26.59%,23.40%,30.04%,17.99%,15.88%,20.32%,1329923.0,1294446.0,174405.0,28473.0,1101688.0,652638.0,41620.0,1770.0,405660.0,551109.0,393966.0,157143.0,247365.0,1315603.0,159165.0,1156438.0,23
Maryland,16.94%,15.17%,18.88%,23.18%,20.20%,26.46%,15.99%,14.05%,18.14%,5959902.0,5819563.0,576835.0,37756.0,4764901.0,3005753.0,216086.0,28072.0,1514990.0,2177492.0,1447783.0,729709.0,1073797.0,5864892.0,833311.0,5031581.0,24
Massachusetts,20.57%,18.52%,22.78%,26.23%,22.87%,29.90%,19.59%,17.31%,22.10%,6742143.0,6506029.0,740836.0,38069.0,5522235.0,3468864.0,252347.0,4627.0,1796397.0,2558889.0,1588743.0,970146.0,1115649.0,6665525.0,989817.0,5675708.0,25
Michigan,18.34%,17.01%,19.76%,24.05%,21.92%,26.32%,17.39%,15.87%,19.02%,9909600.0,9683865.0,1575066.0,27549.0,7953581.0,4449717.0,412934.0,3718.0,3087212.0,3860394.0,2732051.0,1128343.0,1687257.0,9798384.0,1281090.0,8517294.0,26
Minnesota,18.21%,16.40%,20.18%,28.73%,25.46%,32.24%,16.55%,14.52%,18.79%,5450868.0,5327019.0,577196.0,33225.0,4311636.0,2864441.0,145853.0,2228.0,1299114.0,2135310.0,1525611.0,609699.0,1028263.0,5392571.0,682441.0,4710130.0,27
Mississippi,19.04%,16.99%,21.27%,19.70%,16.84%,22.91%,18.92%,16.60%,21.49%,2989192.0,2893091.0,645553.0,21651.0,2338750.0,1212650.0,128840.0,10307.0,986953.0,1098803.0,746399.0,352404.0,383533.0,2923887.0,332081.0,2591806.0,28
Missouri,20.05%,18.06%,22.19%,23.27%,20.18%,26.68%,19.52%,17.31%,21.95%,6059651.0,5876366.0,897755.0,27044.0,4823223.0,2835183.0,200143.0,19699.0,1768198.0,2372362.0,1584735.0,787627.0,995731.0,5946094.0,744661.0,5201433.0,29
Montana,19.78%,17.88%,21.84%,26.11%,23.10%,29.35%,18.77%,16.64%,21.10%,1023391.0,998314.0,148677.0,27309.0,822530.0,490742.0,29382.0,3475.0,298931.0,412653.0,277307.0,135346.0,157423.0,1007946.0,130081.0,877865.0,30
Nebraska,17.88%,16.03%,19.88%,24.79%,21.73%,28.12%,16.64%,14.57%,18.95%,1881259.0,1827191.0,227021.0,28596.0,1463872.0,977353.0,42544.0,4840.0,439135.0,741581.0,489806.0,251775.0,302434.0,1852809.0,227922.0,1624887.0,31
Nevada,18.87%,16.88%,21.04%,24.82%,21.69%,28.24%,18.01%,15.80%,20.44%,2839172.0,2798543.0,417257.0,27253.0,2248477.0,1302162.0,133525.0,7934.0,804856.0,1030701.0,564787.0,465914.0,391607.0,2804116.0,335045.0,2469071.0,32
New Hampshire,19.15%,17.30%,21.14%,26.70%,23.59%,30.06%,17.98%,15.92%,20.24%,1327503.0,1285437.0,109690.0,35264.0,1094783.0,706801.0,37727.0,1675.0,348580.0,521373.0,368553.0,152820.0,248447.0,1310949.0,153935.0,1157014.0,33
New Jersey,16.19%,14.56%,17.95%,20.96%,18.41%,23.76%,15.48%,13.68%,17.47%,8915456.0,8739058.0,949341.0,37538.0,7143654.0,4322619.0,368870.0,8124.0,2444041.0,3195014.0,2047794.0,1147220.0,1405016.0,8807899.0,1096944.0,7710955.0,34
