State,"18 or Older
Estimate","18 or Older
95% CI (Lower)","18 or Older
95% CI (Upper)","18-25
Estimate","18-25
95% CI (Lower)","18-25
95% CI (Upper)","26 or Older
Estimate","26 or Older
95% CI (Lower)","26 or Older
95% CI (Upper)",Total Population,Total Poverty,People Below Poverty Level,People Below Poverty %,Per Capita Income,Total Labor Force,Total Employed Civilian,Unemployment Civilian,Unemployment Civilian %,Armed Forces Employment,Total Not Labor Force,Total Houses,Houses with owners,Houses with renters,Houses with mortgage,Total People,Total People with insurance,Total People without insurance,Total People without insurance %
Alabama,19.95%,17.96%,22.10%,21.52%,18.77%,24.56%,19.69%,17.44%,22.16%,4841164,4720592,868666,18.40163268,24736,3864302,2042025,184479,3.810633145,12150,1625648,1851061,1267824,583237,730637,4761291,657349,4103942,86.19389153
Alaska,20.32%,18.30%,22.50%,27.34%,24.11%,30.83%,19.14%,16.90%,21.59%,736855,719064,72826,10.12788848,34191,568732,353954,30139,4.090221278,16382,168257,250235,159313,90922,103704,712964,83618,629346,88.2717781
Arizona,18.02%,15.98%,20.27%,22.39%,19.29%,25.83%,17.30%,15.01%,19.86%,6728577,6573523,1165636,17.73228754,26686,5290839,2879372,249972,3.715079726,17373,2144122,2448919,1531878,917041,991361,6620233,1024109,5596124,84.53061999
Arkansas,20.73%,18.70%,22.91%,24.46%,21.41%,27.79%,20.11%,17.83%,22.61%,2968472,2881404,542431,18.82523242,23401,2339307,1266552,93190,3.139325552,4445,975120,1141480,749452,392028,417765,2915402,346839,2568563,88.1032187
California,18.18%,17.14%,19.26%,24.75%,22.97%,26.62%,17.06%,15.89%,18.30%,38654206,37913144,6004257,15.83687441,31458,30565746,17577142,1683726,4.355867509,130452,11174426,12807387,6929007,5878380,5000119,38151997,4892528,33259469,87.17622042
Colorado,19.86%,17.94%,21.93%,27.72%,24.33%,31.39%,18.58%,16.44%,20.93%,5359295,5241057,637938,12.17193402,33230,4245559,2692529,171695,3.203686306,33135,1348200,2051616,1320617,730999,959882,5267878,716726,4551152,86.39440777
Connecticut,18.18%,16.21%,20.34%,25.56%,22.35%,29.06%,16.98%,14.81%,19.41%,3588570,3479672,360464,10.3591373,39906,2911925,1793688,155005,4.319408567,8367,954865,1354713,900223,454490,625486,3535139,462556,3072583,86.91547914
Delaware,18.65%,16.69%,20.79%,23.52%,20.49%,26.85%,17.93%,15.74%,20.34%,934695,908973,109448,12.0408417,31118,753039,438292,33669,3.602137596,2860,278218,348051,246940,101111,166435,920268,129412,790856,85.93757471
District of Columbia,21.17%,18.99%,23.54%,23.89%,20.77%,27.32%,20.65%,18.17%,23.37%,659009,624954,112060,17.93091972,48781,554780,348225,33326,5.056987082,3505,169724,276546,112672,163874,86201,648263,100874,547389,84.43934021
Florida,17.54%,16.36%,18.79%,22.74%,20.81%,24.79%,16.83%,15.50%,18.24%,19934451,19514334,3139258,16.08693384,27598,16339299,8755427,802016,4.023266053,56151,6725705,7393262,4787320,2605942,2808279,19621207,2976442,16644765,84.83048469
Georgia,18.07%,16.46%,19.80%,21.26%,18.85%,23.89%,17.53%,15.72%,19.51%,10099320,9829056,1746894,17.77275458,26678,7882965,4489112,419113,4.149913063,48862,2925878,3611706,2266411,1345295,1521924,9907239,1217254,8689985,87.7134891
Hawaii,16.27%,14.41%,18.33%,22.94%,19.92%,26.27%,15.36%,13.30%,17.67%,1413673,1375928,148577,10.79831212,30970,1137804,664616,38768,2.742359796,38777,395643,452030,259854,192176,173799,1362574,193989,1168585,85.76304847
Idaho,25.03%,22.64%,27.59%,27.79%,24.36%,31.51%,24.57%,21.86%,27.51%,1635483,1604369,244585,15.2449343,24280,1251275,731170,48385,2.958453252,3459,468261,596107,410538,185569,271206,1614714,206716,1407998,87.19798057
Illinois,16.76%,15.44%,18.17%,22.82%,20.56%,25.24%,15.78%,14.30%,17.38%,12851684,12548538,1753731,13.97558026,31502,10206768,6134121,545635,4.245630378,17244,3509768,4802124,3167081,1635043,2071942,12671738,1514932,11156806,88.04479701
Indiana,20.90%,18.89%,23.06%,27.45%,24.23%,30.92%,19.75%,17.52%,22.19%,6589578,6388926,957694,14.98990597,26117,5185793,3085179,228929,3.474107143,2844,1868841,2513828,1727511,786317,1151827,6490256,796375,5693881,87.72968277
Iowa,19.02%,17.15%,21.03%,25.26%,22.23%,28.55%,17.90%,15.80%,20.22%,3106589,3005808,369828,12.30377988,28872,2459591,1587178,75289,2.423526253,1703,795421,1242641,883119,359522,537848,3062954,397146,2665808,87.03388951
Kansas,19.71%,17.80%,21.77%,24.72%,21.66%,28.05%,18.81%,16.65%,21.19%,2898292,2816191,373162,13.25059273,28478,2255916,1408918,79000,2.7257433,17329,750669,1115858,740343,375515,449676,2839352,344116,2495236,87.88047414
Kentucky,22.29%,20.15%,24.59%,22.83%,19.87%,26.10%,22.21%,19.81%,24.80%,4411989,4275202,804139,18.80938024,24802,3511065,1914189,156509,3.547356986,14735,1425632,1718217,1147903,570314,679545,4327357,562844,3764513,86.99335414
Louisiana,19.11%,17.17%,21.22%,19.67%,16.86%,22.81%,19.02%,16.83%,21.42%,4645670,4514625,889570,19.70418363,25515,3654913,2025728,168326,3.623287922,15085,1445774,1731398,1132785,598613,608680,4542312,522297,4020015,88.50151641
