,Year,Location Short,Location,Data Value 1,Data Value 2,Low Confidence Limit,High Confidence Limit,Lat and Long,Location ID,Category
16060,2016,UT,Utah,2.9,2.9,2.7,3.2,"(39.360700171000474, -111.58713063499971)",49,GENDER
16142,2016,VT,Vermont,3.5,3.5,3.1,3.9,"(43.62538123900049, -72.51764079099962)",50,GENDER
16437,2016,VA,Virginia,2.7,2.7,2.4,3.0,"(37.54268067400045, -78.45789046299967)",51,GENDER
17827,2016,PR,Puerto Rico,3.8,3.8,3.5,4.1,"(18.220833, -66.590149)",72,OVERALL
17919,2016,IL,Illinois,3.0,3.0,2.6,3.4,"(40.48501028300046, -88.99771017799969)",17,GENDER
17954,2016,IN,Indiana,3.6,3.6,3.2,3.9,"(39.766910452000445, -86.14996019399968)",18,GENDER
18092,2016,IA,Iowa,2.6,2.6,2.3,2.9,"(42.46940091300047, -93.81649055599968)",19,GENDER
18800,2016,KS,Kansas,2.6,2.6,2.3,2.8,"(38.34774030000045, -98.20078122699965)",20,GENDER
37588,2016,LA,Louisiana,3.5,3.5,3.0,3.9,"(31.31266064400046, -92.44568007099969)",22,GENDER
37713,2016,GU,Guam,3.8,3.8,3.1,4.5,"(13.444304, 144.793731)",66,OVERALL
37776,2016,ME,Maine,3.7,3.7,3.3,4.1,"(45.254228894000505, -68.98503133599962)",23,GENDER
37793,2016,US,United States,3.7,3.7,3.6,4.0,,59,OVERALL
37794,2016,AL,Alabama,4.5,4.5,4.2,4.8,"(32.84057112200048, -86.63186076199969)",1,OVERALL
37795,2016,AK,Alaska,3.5,3.5,3.0,4.0,"(64.84507995700051, -147.72205903599973)",2,OVERALL
37796,2016,AZ,Arizona,3.8,3.8,3.5,4.1,"(34.865970280000454, -111.76381127699972)",4,OVERALL
37797,2016,AR,Arkansas,5.0,5.0,4.5,5.5,"(34.74865012400045, -92.27449074299966)",5,OVERALL
37798,2016,CA,California,3.5,3.5,3.4,3.7,"(37.63864012300047, -120.99999953799971)",6,OVERALL
37799,2016,CO,Colorado,3.6,3.6,3.4,3.8,"(38.843840757000464, -106.13361092099967)",8,OVERALL
37800,2016,CT,Connecticut,3.7,3.7,3.4,3.9,"(41.56266102000046, -72.64984095199964)",9,OVERALL
37801,2016,DE,Delaware,3.6,3.6,3.2,3.9,"(39.008830667000495, -75.57774116799965)",10,OVERALL
37802,2016,DC,District of Columbia,3.4,3.4,3.1,3.7,"(38.907192, -77.036871)",11,OVERALL
37803,2016,FL,Florida,3.6,3.6,3.4,3.7,"(28.932040377000476, -81.92896053899966)",12,OVERALL
37804,2016,GA,Georgia,3.8,3.8,3.5,4.1,"(32.83968109300048, -83.62758034599966)",13,OVERALL
37805,2016,HI,Hawaii,3.1,3.1,2.9,3.4,"(21.304850435000446, -157.85774940299973)",15,OVERALL
37806,2016,ID,Idaho,3.5,3.5,3.3,3.8,"(43.682630005000476, -114.3637300419997)",16,OVERALL
37807,2016,IL,Illinois,3.4,3.4,3.2,3.7,"(40.48501028300046, -88.99771017799969)",17,OVERALL
37808,2016,IN,Indiana,4.2,4.2,4.0,4.4,"(39.766910452000445, -86.14996019399968)",18,OVERALL
37809,2016,IA,Iowa,3.3,3.3,3.0,3.5,"(42.46940091300047, -93.81649055599968)",19,OVERALL
37810,2016,KS,Kansas,3.2,3.2,3.1,3.4,"(38.34774030000045, -98.20078122699965)",20,OVERALL
37811,2016,KY,Kentucky,4.6,4.6,4.3,4.9,"(37.645970271000465, -84.77497104799966)",21,OVERALL
37812,2016,LA,Louisiana,4.2,4.2,3.8,4.5,"(31.31266064400046, -92.44568007099969)",22,OVERALL
37813,2016,ME,Maine,4.1,4.1,3.8,4.3,"(45.254228894000505, -68.98503133599962)",23,OVERALL
37814,2016,MD,Maryland,3.4,3.4,3.2,3.5,"(39.29058096400047, -76.60926011099963)",24,OVERALL
37815,2016,MA,Massachusetts,3.9,3.9,3.6,4.1,"(42.27687047000046, -72.08269067499964)",25,OVERALL
37816,2016,MI,Michigan,4.3,4.3,4.0,4.5,"(44.6613195430005, -84.71439026999968)",26,OVERALL
37817,2016,MN,Minnesota,3.1,3.1,3.0,3.3,"(46.35564873600049, -94.79420050299967)",27,OVERALL
37818,2016,MS,Mississippi,4.3,4.3,4.0,4.7,"(32.745510099000455, -89.53803082499968)",28,OVERALL
37819,2016,MO,Missouri,4.2,4.2,3.8,4.5,"(38.635790776000476, -92.56630005299968)",29,OVERALL
37820,2016,MT,Montana,3.4,3.4,3.1,3.7,"(47.06652897200047, -109.42442064499971)",30,OVERALL
37821,2016,NE,Nebraska,3.2,3.2,3.0,3.4,"(41.6410409880005, -99.36572062299967)",31,OVERALL
37822,2016,NV,Nevada,4.4,4.4,4.0,4.8,"(39.493240390000494, -117.07184056399967)",32,OVERALL
37823,2016,NH,New Hampshire,4.0,4.0,3.6,4.3,"(43.65595011300047, -71.50036091999965)",33,OVERALL
37824,2016,NJ,New Jersey,3.4,3.4,3.1,3.7,"(40.13057004800049, -74.27369128799967)",34,OVERALL
37825,2016,NM,New Mexico,3.9,3.9,3.6,4.3,"(34.52088095200048, -106.24058098499967)",35,OVERALL
37826,2016,NY,New York,3.5,3.5,3.4,3.7,"(42.82700103200045, -75.54397042699964)",36,OVERALL
37827,2016,NC,North Carolina,3.8,3.8,3.6,4.1,"(35.466220975000454, -79.15925046299964)",37,OVERALL
37828,2016,ND,North Dakota,3.1,3.1,2.8,3.4,"(47.47531977900047, -100.11842104899966)",38,OVERALL
37829,2016,OH,Ohio,4.1,4.1,3.8,4.3,"(40.06021014100048, -82.40426005599966)",39,OVERALL
37830,2016,OK,Oklahoma,4.4,4.4,4.1,4.7,"(35.47203135600046, -97.52107021399968)",40,OVERALL
37831,2016,OR,Oregon,4.3,4.3,4.0,4.5,"(44.56744942400047, -120.15503132599969)",41,OVERALL
