outcome,age_group,year_pair,state,estimate,ci_lower,ci_upper
Any Mental Illness in the Past Year,18 or Older,2013-14,Alabama,0.195067,0.172477,0.219831
Any Mental Illness in the Past Year,18 or Older,2013-14,Alaska,0.181217,0.160989,0.20337
Any Mental Illness in the Past Year,18 or Older,2013-14,Arizona,0.185888,0.164041,0.209915
Any Mental Illness in the Past Year,18 or Older,2013-14,Arkansas,0.199982,0.178473,0.223379
Any Mental Illness in the Past Year,18 or Older,2013-14,California,0.181413,0.169561,0.193899
Any Mental Illness in the Past Year,18 or Older,2013-14,Colorado,0.178746,0.158327,0.20117
Any Mental Illness in the Past Year,18 or Older,2013-14,Connecticut,0.164408,0.144807,0.186084
Any Mental Illness in the Past Year,18 or Older,2013-14,Delaware,0.190638,0.168721,0.214666
Any Mental Illness in the Past Year,18 or Older,2013-14,District of Columbia,0.193198,0.172241,0.216039
Any Mental Illness in the Past Year,18 or Older,2013-14,Florida,0.160303,0.148049,0.173364
Any Mental Illness in the Past Year,18 or Older,2013-14,Georgia,0.185726,0.164525,0.208975
Any Mental Illness in the Past Year,18 or Older,2013-14,Hawaii,0.170372,0.150293,0.192525
Any Mental Illness in the Past Year,18 or Older,2013-14,Idaho,0.208051,0.18565,0.232384
Any Mental Illness in the Past Year,18 or Older,2013-14,Illinois,0.163714,0.150904,0.177385
Any Mental Illness in the Past Year,18 or Older,2013-14,Indiana,0.202537,0.179519,0.227687
Any Mental Illness in the Past Year,18 or Older,2013-14,Iowa,0.168255,0.147302,0.191518
Any Mental Illness in the Past Year,18 or Older,2013-14,Kansas,0.175636,0.15481,0.198604
Any Mental Illness in the Past Year,18 or Older,2013-14,Kentucky,0.200802,0.177807,0.225953
Any Mental Illness in the Past Year,18 or Older,2013-14,Louisiana,0.198287,0.176751,0.221739
Any Mental Illness in the Past Year,18 or Older,2013-14,Maine,0.205451,0.181752,0.231366
Any Mental Illness in the Past Year,18 or Older,2013-14,Maryland,0.163012,0.143529,0.18457
Any Mental Illness in the Past Year,18 or Older,2013-14,Massachusetts,0.201137,0.178583,0.225756
Any Mental Illness in the Past Year,18 or Older,2013-14,Michigan,0.190547,0.177483,0.204333
Any Mental Illness in the Past Year,18 or Older,2013-14,Minnesota,0.19653,0.174802,0.220239
Any Mental Illness in the Past Year,18 or Older,2013-14,Mississippi,0.192932,0.170433,0.217623
Any Mental Illness in the Past Year,18 or Older,2013-14,Missouri,0.189515,0.168221,0.212815
Any Mental Illness in the Past Year,18 or Older,2013-14,Montana,0.197607,0.175726,0.22148
Any Mental Illness in the Past Year,18 or Older,2013-14,Nebraska,0.181971,0.160393,0.20574
Any Mental Illness in the Past Year,18 or Older,2013-14,Nevada,0.185176,0.164225,0.208134
Any Mental Illness in the Past Year,18 or Older,2013-14,New Hampshire,0.208606,0.186144,0.233002
Any Mental Illness in the Past Year,18 or Older,2013-14,New Jersey,0.162687,0.143664,0.183689
Any Mental Illness in the Past Year,18 or Older,2013-14,New Mexico,0.200144,0.177461,0.224934
Any Mental Illness in the Past Year,18 or Older,2013-14,New York,0.176286,0.16338,0.189979
Any Mental Illness in the Past Year,18 or Older,2013-14,North Carolina,0.193265,0.172416,0.215978
Any Mental Illness in the Past Year,18 or Older,2013-14,North Dakota,0.161207,0.142849,0.181426
Any Mental Illness in the Past Year,18 or Older,2013-14,Ohio,0.202631,0.18834,0.217716
Any Mental Illness in the Past Year,18 or Older,2013-14,Oklahoma,0.19048,0.168865,0.214148
Any Mental Illness in the Past Year,18 or Older,2013-14,Oregon,0.226641,0.202002,0.25333
Any Mental Illness in the Past Year,18 or Older,2013-14,Pennsylvania,0.175229,0.162154,0.189121
Any Mental Illness in the Past Year,18 or Older,2013-14,Rhode Island,0.215984,0.191238,0.24297
Any Mental Illness in the Past Year,18 or Older,2013-14,South Carolina,0.175896,0.155108,0.198815
Any Mental Illness in the Past Year,18 or Older,2013-14,South Dakota,0.167759,0.14769,0.189947
Any Mental Illness in the Past Year,18 or Older,2013-14,Tennessee,0.204068,0.18141,0.228765
Any Mental Illness in the Past Year,18 or Older,2013-14,Texas,0.16877,0.157154,0.181062
Any Mental Illness in the Past Year,18 or Older,2013-14,Utah,0.208743,0.18611,0.233341
Any Mental Illness in the Past Year,18 or Older,2013-14,Vermont,0.204551,0.181527,0.229676
Any Mental Illness in the Past Year,18 or Older,2013-14,Virginia,0.180829,0.161171,0.202306
Any Mental Illness in the Past Year,18 or Older,2013-14,Washington,0.197609,0.176506,0.22056
Any Mental Illness in the Past Year,18 or Older,2013-14,West Virginia,0.211476,0.189071,0.235764
Any Mental Illness in the Past Year,18 or Older,2013-14,Wisconsin,0.184387,0.16265,0.208306
Any Mental Illness in the Past Year,18 or Older,2013-14,Wyoming,0.19144,0.171632,0.212947
